num	lesson	student	skill	cell	right	eol
1	Atividade_Avaliativa_4	Aluno_2	Atributos_e_metodos_de_um_objeto	cell	1	eol
2	Atividade_Avaliativa_4	Aluno_2	Atributos_e_metodos_de_um_objeto	cell	1	eol
3	Atividade_Avaliativa_4	Aluno_4	Atributos_e_metodos_de_um_objeto	cell	1	eol
4	Atividade_Avaliativa_4	Aluno_4	Atributos_e_metodos_de_um_objeto	cell	1	eol
5	Atividade_Avaliativa_4	Aluno_6	Atributos_e_metodos_de_um_objeto	cell	1	eol
6	Atividade_Avaliativa_4	Aluno_6	Atributos_e_metodos_de_um_objeto	cell	1	eol
7	Atividade_Avaliativa_4	Aluno_9	Atributos_e_metodos_de_um_objeto	cell	1	eol
8	Atividade_Avaliativa_4	Aluno_9	Atributos_e_metodos_de_um_objeto	cell	1	eol
9	Atividade_Avaliativa_4	Aluno_12	Atributos_e_metodos_de_um_objeto	cell	1	eol
10	Atividade_Avaliativa_4	Aluno_12	Atributos_e_metodos_de_um_objeto	cell	1	eol
11	Atividade_Avaliativa_4	Aluno_13	Atributos_e_metodos_de_um_objeto	cell	0	eol
12	Atividade_Avaliativa_4	Aluno_13	Atributos_e_metodos_de_um_objeto	cell	1	eol
13	Atividade_Avaliativa_4	Aluno_16	Atributos_e_metodos_de_um_objeto	cell	0	eol
14	Atividade_Avaliativa_4	Aluno_16	Atributos_e_metodos_de_um_objeto	cell	1	eol
15	Atividade_Avaliativa_4	Aluno_21	Atributos_e_metodos_de_um_objeto	cell	1	eol
16	Atividade_Avaliativa_4	Aluno_21	Atributos_e_metodos_de_um_objeto	cell	1	eol
17	Atividade_Avaliativa_4	Aluno_22	Atributos_e_metodos_de_um_objeto	cell	1	eol
18	Atividade_Avaliativa_4	Aluno_22	Atributos_e_metodos_de_um_objeto	cell	1	eol
19	Atividade_Avaliativa_4	Aluno_24	Atributos_e_metodos_de_um_objeto	cell	1	eol
20	Atividade_Avaliativa_4	Aluno_24	Atributos_e_metodos_de_um_objeto	cell	1	eol
21	Atividade_Avaliativa_4	Aluno_26	Atributos_e_metodos_de_um_objeto	cell	0	eol
22	Atividade_Avaliativa_4	Aluno_26	Atributos_e_metodos_de_um_objeto	cell	1	eol
23	Atividade_Avaliativa_4	Aluno_29	Atributos_e_metodos_de_um_objeto	cell	1	eol
24	Atividade_Avaliativa_4	Aluno_29	Atributos_e_metodos_de_um_objeto	cell	1	eol
25	Atividade_Avaliativa_4	Aluno_30	Atributos_e_metodos_de_um_objeto	cell	1	eol
26	Atividade_Avaliativa_4	Aluno_30	Atributos_e_metodos_de_um_objeto	cell	1	eol
27	Atividade_Avaliativa_4	Aluno_33	Atributos_e_metodos_de_um_objeto	cell	1	eol
28	Atividade_Avaliativa_4	Aluno_33	Atributos_e_metodos_de_um_objeto	cell	1	eol
29	Atividade_Avaliativa_4	Aluno_36	Atributos_e_metodos_de_um_objeto	cell	1	eol
30	Atividade_Avaliativa_4	Aluno_36	Atributos_e_metodos_de_um_objeto	cell	1	eol
31	Atividade_Avaliativa_4	Aluno_41	Atributos_e_metodos_de_um_objeto	cell	0	eol
32	Atividade_Avaliativa_4	Aluno_41	Atributos_e_metodos_de_um_objeto	cell	1	eol
33	Atividade_Avaliativa_4	Aluno_42	Atributos_e_metodos_de_um_objeto	cell	0	eol
34	Atividade_Avaliativa_4	Aluno_42	Atributos_e_metodos_de_um_objeto	cell	1	eol
35	Atividade_Avaliativa_4	Aluno_46	Atributos_e_metodos_de_um_objeto	cell	1	eol
36	Atividade_Avaliativa_4	Aluno_46	Atributos_e_metodos_de_um_objeto	cell	1	eol
37	Atividade_Avaliativa_4	Aluno_47	Atributos_e_metodos_de_um_objeto	cell	1	eol
38	Atividade_Avaliativa_4	Aluno_47	Atributos_e_metodos_de_um_objeto	cell	1	eol
39	Atividade_Avaliativa_4	Aluno_48	Atributos_e_metodos_de_um_objeto	cell	1	eol
40	Atividade_Avaliativa_4	Aluno_48	Atributos_e_metodos_de_um_objeto	cell	1	eol
