num;lesson;student;skill;cell;right;eol
9;Atividade_Avaliativa_1;Aluno_6;Conceitos_de_OO;cell;0;eol
10;Atividade_Avaliativa_1;Aluno_6;Conceitos_de_OO;cell;0;eol
11;Atividade_Avaliativa_1;Aluno_6;Conceitos_de_OO;cell;1;eol
12;Atividade_Avaliativa_1;Aluno_6;Conceitos_de_OO;cell;1;eol
33;Atividade_Avaliativa_1;Aluno_16;Conceitos_de_OO;cell;1;eol
34;Atividade_Avaliativa_1;Aluno_16;Conceitos_de_OO;cell;1;eol
35;Atividade_Avaliativa_1;Aluno_16;Conceitos_de_OO;cell;1;eol
36;Atividade_Avaliativa_1;Aluno_16;Conceitos_de_OO;cell;1;eol
49;Atividade_Avaliativa_1;Aluno_24;Conceitos_de_OO;cell;1;eol
50;Atividade_Avaliativa_1;Aluno_24;Conceitos_de_OO;cell;1;eol
51;Atividade_Avaliativa_1;Aluno_24;Conceitos_de_OO;cell;1;eol
52;Atividade_Avaliativa_1;Aluno_24;Conceitos_de_OO;cell;1;eol
57;Atividade_Avaliativa_1;Aluno_27;Conceitos_de_OO;cell;1;eol
58;Atividade_Avaliativa_1;Aluno_27;Conceitos_de_OO;cell;1;eol
59;Atividade_Avaliativa_1;Aluno_27;Conceitos_de_OO;cell;0;eol
60;Atividade_Avaliativa_1;Aluno_27;Conceitos_de_OO;cell;1;eol
61;Atividade_Avaliativa_1;Aluno_29;Conceitos_de_OO;cell;1;eol
62;Atividade_Avaliativa_1;Aluno_29;Conceitos_de_OO;cell;1;eol
63;Atividade_Avaliativa_1;Aluno_29;Conceitos_de_OO;cell;0;eol
64;Atividade_Avaliativa_1;Aluno_29;Conceitos_de_OO;cell;1;eol
69;Atividade_Avaliativa_1;Aluno_33;Conceitos_de_OO;cell;0;eol
70;Atividade_Avaliativa_1;Aluno_33;Conceitos_de_OO;cell;0;eol
71;Atividade_Avaliativa_1;Aluno_33;Conceitos_de_OO;cell;0;eol
72;Atividade_Avaliativa_1;Aluno_33;Conceitos_de_OO;cell;0;eol
77;Atividade_Avaliativa_1;Aluno_36;Conceitos_de_OO;cell;1;eol
78;Atividade_Avaliativa_1;Aluno_36;Conceitos_de_OO;cell;1;eol
79;Atividade_Avaliativa_1;Aluno_36;Conceitos_de_OO;cell;0;eol
80;Atividade_Avaliativa_1;Aluno_36;Conceitos_de_OO;cell;0;eol
85;Atividade_Avaliativa_1;Aluno_40;Conceitos_de_OO;cell;0;eol
86;Atividade_Avaliativa_1;Aluno_40;Conceitos_de_OO;cell;1;eol
87;Atividade_Avaliativa_1;Aluno_40;Conceitos_de_OO;cell;1;eol
88;Atividade_Avaliativa_1;Aluno_40;Conceitos_de_OO;cell;1;eol
93;Atividade_Avaliativa_1;Aluno_42;Conceitos_de_OO;cell;0;eol
94;Atividade_Avaliativa_1;Aluno_42;Conceitos_de_OO;cell;1;eol
95;Atividade_Avaliativa_1;Aluno_42;Conceitos_de_OO;cell;1;eol
96;Atividade_Avaliativa_1;Aluno_42;Conceitos_de_OO;cell;1;eol
105;Atividade_Avaliativa_1;Aluno_48;Conceitos_de_OO;cell;0;eol
106;Atividade_Avaliativa_1;Aluno_48;Conceitos_de_OO;cell;1;eol
107;Atividade_Avaliativa_1;Aluno_48;Conceitos_de_OO;cell;0;eol
108;Atividade_Avaliativa_1;Aluno_48;Conceitos_de_OO;cell;0;eol
