num	lesson	student	skill	cell	right	eol
1	Atividade_Avaliativa_3	Aluno_2	Objetos_e_Classes	cell	1	eol
2	Atividade_Avaliativa_3	Aluno_2	Objetos_e_Classes	cell	1	eol
3	Atividade_Avaliativa_3	Aluno_2	Objetos_e_Classes	cell	1	eol
4	Atividade_Avaliativa_3	Aluno_4	Objetos_e_Classes	cell	1	eol
5	Atividade_Avaliativa_3	Aluno_4	Objetos_e_Classes	cell	1	eol
6	Atividade_Avaliativa_3	Aluno_4	Objetos_e_Classes	cell	1	eol
7	Atividade_Avaliativa_3	Aluno_6	Objetos_e_Classes	cell	1	eol
8	Atividade_Avaliativa_3	Aluno_6	Objetos_e_Classes	cell	1	eol
9	Atividade_Avaliativa_3	Aluno_6	Objetos_e_Classes	cell	1	eol
10	Atividade_Avaliativa_3	Aluno_9	Objetos_e_Classes	cell	1	eol
11	Atividade_Avaliativa_3	Aluno_9	Objetos_e_Classes	cell	0	eol
12	Atividade_Avaliativa_3	Aluno_9	Objetos_e_Classes	cell	1	eol
13	Atividade_Avaliativa_3	Aluno_12	Objetos_e_Classes	cell	1	eol
14	Atividade_Avaliativa_3	Aluno_12	Objetos_e_Classes	cell	1	eol
15	Atividade_Avaliativa_3	Aluno_12	Objetos_e_Classes	cell	1	eol
16	Atividade_Avaliativa_3	Aluno_13	Objetos_e_Classes	cell	1	eol
17	Atividade_Avaliativa_3	Aluno_13	Objetos_e_Classes	cell	1	eol
18	Atividade_Avaliativa_3	Aluno_13	Objetos_e_Classes	cell	1	eol
19	Atividade_Avaliativa_3	Aluno_16	Objetos_e_Classes	cell	1	eol
20	Atividade_Avaliativa_3	Aluno_16	Objetos_e_Classes	cell	1	eol
21	Atividade_Avaliativa_3	Aluno_16	Objetos_e_Classes	cell	1	eol
22	Atividade_Avaliativa_3	Aluno_21	Objetos_e_Classes	cell	1	eol
23	Atividade_Avaliativa_3	Aluno_21	Objetos_e_Classes	cell	1	eol
24	Atividade_Avaliativa_3	Aluno_21	Objetos_e_Classes	cell	1	eol
25	Atividade_Avaliativa_3	Aluno_22	Objetos_e_Classes	cell	1	eol
26	Atividade_Avaliativa_3	Aluno_22	Objetos_e_Classes	cell	1	eol
27	Atividade_Avaliativa_3	Aluno_22	Objetos_e_Classes	cell	1	eol
28	Atividade_Avaliativa_3	Aluno_24	Objetos_e_Classes	cell	1	eol
29	Atividade_Avaliativa_3	Aluno_24	Objetos_e_Classes	cell	1	eol
30	Atividade_Avaliativa_3	Aluno_24	Objetos_e_Classes	cell	1	eol
31	Atividade_Avaliativa_3	Aluno_26	Objetos_e_Classes	cell	1	eol
32	Atividade_Avaliativa_3	Aluno_26	Objetos_e_Classes	cell	1	eol
33	Atividade_Avaliativa_3	Aluno_26	Objetos_e_Classes	cell	0	eol
34	Atividade_Avaliativa_3	Aluno_29	Objetos_e_Classes	cell	0	eol
35	Atividade_Avaliativa_3	Aluno_29	Objetos_e_Classes	cell	1	eol
36	Atividade_Avaliativa_3	Aluno_29	Objetos_e_Classes	cell	1	eol
37	Atividade_Avaliativa_3	Aluno_30	Objetos_e_Classes	cell	1	eol
38	Atividade_Avaliativa_3	Aluno_30	Objetos_e_Classes	cell	0	eol
39	Atividade_Avaliativa_3	Aluno_30	Objetos_e_Classes	cell	1	eol
40	Atividade_Avaliativa_3	Aluno_33	Objetos_e_Classes	cell	0	eol
41	Atividade_Avaliativa_3	Aluno_33	Objetos_e_Classes	cell	1	eol
42	Atividade_Avaliativa_3	Aluno_33	Objetos_e_Classes	cell	0	eol
43	Atividade_Avaliativa_3	Aluno_36	Objetos_e_Classes	cell	1	eol
44	Atividade_Avaliativa_3	Aluno_36	Objetos_e_Classes	cell	1	eol
45	Atividade_Avaliativa_3	Aluno_36	Objetos_e_Classes	cell	1	eol
46	Atividade_Avaliativa_3	Aluno_40	Objetos_e_Classes	cell	0	eol
47	Atividade_Avaliativa_3	Aluno_40	Objetos_e_Classes	cell	0	eol
48	Atividade_Avaliativa_3	Aluno_40	Objetos_e_Classes	cell	0	eol
49	Atividade_Avaliativa_3	Aluno_41	Objetos_e_Classes	cell	1	eol
50	Atividade_Avaliativa_3	Aluno_41	Objetos_e_Classes	cell	1	eol
51	Atividade_Avaliativa_3	Aluno_41	Objetos_e_Classes	cell	1	eol
52	Atividade_Avaliativa_3	Aluno_42	Objetos_e_Classes	cell	0	eol
53	Atividade_Avaliativa_3	Aluno_42	Objetos_e_Classes	cell	1	eol
54	Atividade_Avaliativa_3	Aluno_42	Objetos_e_Classes	cell	1	eol
55	Atividade_Avaliativa_3	Aluno_46	Objetos_e_Classes	cell	1	eol
56	Atividade_Avaliativa_3	Aluno_46	Objetos_e_Classes	cell	0	eol
57	Atividade_Avaliativa_3	Aluno_46	Objetos_e_Classes	cell	1	eol
58	Atividade_Avaliativa_3	Aluno_47	Objetos_e_Classes	cell	1	eol
59	Atividade_Avaliativa_3	Aluno_47	Objetos_e_Classes	cell	0	eol
60	Atividade_Avaliativa_3	Aluno_47	Objetos_e_Classes	cell	1	eol
61	Atividade_Avaliativa_3	Aluno_48	Objetos_e_Classes	cell	1	eol
62	Atividade_Avaliativa_3	Aluno_48	Objetos_e_Classes	cell	0	eol
63	Atividade_Avaliativa_3	Aluno_48	Objetos_e_Classes	cell	1	eol
