CONHEC_O_O,FORMACAO,INST_ENS_ORIG,CURSO_GRAD,O_O_GRAD,TRAB_PROGRAM,EXP_PROGRAM,TRAB_PROGR_O_O,EXP_O_O,LOGIN,FORUM_NOTICIAS,APRESENTACAO,FORUM_UNIDADE_AMBIENTACAO,LEITURA_CONTEUDO_UNIDADE_INIC,REVISAO_CONTEUDO_DURANTE_AVAL_INIC,TEMPO_ATIV_INIC_SEGUNDOS_DISC,NOTA_ATIV_INIC_LETRA,FORUM_UNIDADE_1,REVISAO_CONTEUDO_DURANTE_AVAL_1,ATIVIDADE_FIXACAO_1,LEITURA_CONTEUDO_UNIDADE_1,TEMPO_ATIV_1_SEGUNDOS_DISC,NOTA_ATIV_1_LETRA,APROVADO_ATIV_1,EVASAO
NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO,NAO_ACESSOU,NAO,NAO_ACESSOU,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO,SIM
QUASE_TOTAL,GRADUACAO_INCOMPLETA,PRIVADA,CIENC_COMP,SIM,NAO,NAO_TRABALHA_PROG,NAO,NAO_TRABALHA_PROG,SIM,NAO_ACESSOU,SIM,ACESSOU,SIM,SIM,MAIOR_MEDIANA,F,NAO_ACESSOU,SIM,SIM,SIM,MAIOR_MEDIANA,D,SIM,NAO
NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,SIM,NAO_ACESSOU,NAO,NAO_ACESSOU,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO,SIM
QUASE_TOTAL,GRADUACAO_INCOMPLETA,PRIVADA,CIENC_COMP,SIM,NAO,NAO_TRABALHA_PROG,NAO,NAO_TRABALHA_PROG,SIM,ACESSOU,SIM,ACESSOU,SIM,NAO,MAIOR_MEDIANA,B,NAO_ACESSOU,SIM,SIM,SIM,MAIOR_MEDIANA,C,SIM,NAO
POUCO,GRADUACAO_INCOMPLETA,MUNICIPAL,SIST_INFO,NAO,NAO,NAO_TRABALHA_PROG,NAO,NAO_TRABALHA_PROG,SIM,ACESSOU,SIM,ACESSOU,SIM,NAO,MENOR_MEDIANA,F,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO,SIM
NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,SIM,ACESSOU,NAO,NAO_ACESSOU,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO,SIM
QUASE_TOTAL,GRADUACAO_INCOMPLETA,PRIVADA,CIENC_COMP,SIM,SIM,1~2_ANOS,SIM,1~2_ANOS,SIM,ACESSOU,SIM,NAO_ACESSOU,SIM,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO,SIM
PARCIAL,GRADUACAO_INCOMPLETA,PRIVADA,CIENC_COMP,SIM,NAO,NAO_TRABALHA_PROG,NAO,NAO_TRABALHA_PROG,SIM,ACESSOU,SIM,ACESSOU,SIM,SIM,MAIOR_MEDIANA,C,ACESSOU,SIM,SIM,SIM,MAIOR_MEDIANA,B,SIM,NAO
NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,SIM,NAO_ACESSOU,NAO,NAO_ACESSOU,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO,SIM
NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,SIM,NAO_ACESSOU,NAO,NAO_ACESSOU,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO,SIM
PARCIAL,GRADUACAO_INCOMPLETA,PRIVADA,CIENC_COMP,SIM,NAO,NAO_TRABALHA_PROG,NAO,NAO_TRABALHA_PROG,SIM,NAO_ACESSOU,SIM,ACESSOU,SIM,NAO,MAIOR_MEDIANA,B,ACESSOU,SIM,SIM,SIM,MAIOR_MEDIANA,D,SIM,NAO
QUASE_TOTAL,GRADUACAO_INCOMPLETA,PRIVADA,CIENC_COMP,SIM,NAO,NAO_TRABALHA_PROG,NAO,NAO_TRABALHA_PROG,SIM,ACESSOU,SIM,NAO_ACESSOU,SIM,NAO,MENOR_MEDIANA,A,ACESSOU,SIM,SIM,SIM,MENOR_MEDIANA,D,SIM,NAO
PARCIAL,GRADUACAO_INCOMPLETA,MUNICIPAL,CIENC_COMP,SIM,NAO,NAO_TRABALHA_PROG,NAO,NAO_TRABALHA_PROG,SIM,ACESSOU,SIM,ACESSOU,SIM,SIM,MAIOR_MEDIANA,C,ACESSOU,NAO,SIM,SIM,MAIOR_MEDIANA,C,SIM,SIM
PARCIAL,GRADUACAO_INCOMPLETA,PRIVADA,CIENC_COMP,SIM,NAO,NAO_TRABALHA_PROG,NAO,NAO_TRABALHA_PROG,SIM,ACESSOU,SIM,NAO_ACESSOU,SIM,NAO,MAIOR_MEDIANA,F,ACESSOU,NAO,SIM,SIM,MENOR_MEDIANA,F,NAO,SIM
PARCIAL,GRADUACAO_INCOMPLETA,MUNICIPAL,SIST_INFO,SIM,NAO,NAO_TRABALHA_PROG,NAO,NAO_TRABALHA_PROG,SIM,NAO_ACESSOU,SIM,NAO_ACESSOU,SIM,NAO,MENOR_MEDIANA,F,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO,SIM
PARCIAL,GRADUACAO_INCOMPLETA,MUNICIPAL,CIENC_COMP,NAO,SIM,1~2_ANOS,SIM,1~2_ANOS,SIM,NAO_ACESSOU,SIM,NAO_ACESSOU,SIM,NAO,MENOR_MEDIANA,D,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO,SIM
NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO,NAO_ACESSOU,NAO,NAO_ACESSOU,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO,SIM
NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO,NAO_ACESSOU,NAO,NAO_ACESSOU,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO,SIM
QUASE_TOTAL,GRADUACAO_INCOMPLETA,PRIVADA,CIENC_COMP,SIM,NAO,NAO_TRABALHA_PROG,NAO,NAO_TRABALHA_PROG,SIM,ACESSOU,SIM,NAO_ACESSOU,SIM,NAO,MENOR_MEDIANA,A,NAO_ACESSOU,SIM,SIM,SIM,MENOR_MEDIANA,D,SIM,NAO
PARCIAL,GRADUACAO_INCOMPLETA,MUNICIPAL,CIENC_COMP,SIM,NAO,NAO_TRABALHA_PROG,NAO,NAO_TRABALHA_PROG,SIM,ACESSOU,SIM,NAO_ACESSOU,SIM,NAO,MENOR_MEDIANA,D,NAO_ACESSOU,NAO,SIM,SIM,MAIOR_MEDIANA,D,SIM,NAO
POUCO,GRADUACAO_INCOMPLETA,PRIVADA,CIENC_COMP,SIM,NAO,NAO_TRABALHA_PROG,SIM,NAO_TRABALHA_PROG,SIM,ACESSOU,SIM,ACESSOU,SIM,NAO,MAIOR_MEDIANA,F,ACESSOU,SIM,SIM,SIM,MAIOR_MEDIANA,D,SIM,SIM
NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,SIM,NAO_ACESSOU,NAO,NAO_ACESSOU,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO,SIM
QUASE_TOTAL,GRADUACAO_INCOMPLETA,PRIVADA,CIENC_COMP,SIM,NAO,NAO_TRABALHA_PROG,NAO,NAO_TRABALHA_PROG,SIM,NAO_ACESSOU,SIM,NAO_ACESSOU,SIM,NAO,MENOR_MEDIANA,F,NAO_ACESSOU,NAO,SIM,SIM,MENOR_MEDIANA,F,NAO,NAO
NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,SIM,NAO_ACESSOU,NAO,NAO_ACESSOU,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO,SIM
PARCIAL,GRADUACAO_INCOMPLETA,PRIVADA,CIENC_COMP,SIM,NAO,NAO_TRABALHA_PROG,NAO,NAO_TRABALHA_PROG,SIM,ACESSOU,SIM,ACESSOU,SIM,NAO,MENOR_MEDIANA,C,NAO_ACESSOU,SIM,SIM,SIM,MAIOR_MEDIANA,B,SIM,NAO
NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,SIM,ACESSOU,NAO,ACESSOU,SIM,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO,SIM
NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,SIM,ACESSOU,NAO,NAO_ACESSOU,SIM,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_ACESSOU,NAO,SIM,SIM,NAO_REGISTRADO,NAO_REGISTRADO,NAO,SIM
NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,SIM,ACESSOU,NAO,NAO_ACESSOU,SIM,NAO,NAO_REGISTRADO,NAO_REGISTRADO,ACESSOU,NAO,SIM,SIM,NAO_REGISTRADO,NAO_REGISTRADO,NAO,SIM
NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO,NAO_ACESSOU,NAO,NAO_ACESSOU,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO,SIM
PARCIAL,GRADUACAO_INCOMPLETA,PRIVADA,CIENC_COMP,SIM,SIM,3~5_ANOS,SIM,3~5_ANOS,SIM,ACESSOU,SIM,NAO_ACESSOU,SIM,NAO,MENOR_MEDIANA,A,NAO_ACESSOU,SIM,SIM,SIM,MENOR_MEDIANA,B,SIM,SIM
PARCIAL,GRADUACAO_INCOMPLETA,PRIVADA,CIENC_COMP,SIM,NAO,NAO_TRABALHA_PROG,NAO,NAO_TRABALHA_PROG,SIM,NAO_ACESSOU,SIM,NAO_ACESSOU,SIM,NAO,MENOR_MEDIANA,B,ACESSOU,NAO,SIM,SIM,NAO_REGISTRADO,NAO_REGISTRADO,NAO,SIM
