num	lesson	student	skill	cell	right	eol
1	Atividade_Avaliativa_1	Aluno_2	Conceitos_de_OO	cell	1	eol
2	Atividade_Avaliativa_1	Aluno_2	Conceitos_de_OO	cell	0	eol
3	Atividade_Avaliativa_1	Aluno_2	Conceitos_de_OO	cell	0	eol
4	Atividade_Avaliativa_1	Aluno_2	Conceitos_de_OO	cell	1	eol
5	Atividade_Avaliativa_1	Aluno_4	Conceitos_de_OO	cell	0	eol
6	Atividade_Avaliativa_1	Aluno_4	Conceitos_de_OO	cell	1	eol
7	Atividade_Avaliativa_1	Aluno_4	Conceitos_de_OO	cell	1	eol
8	Atividade_Avaliativa_1	Aluno_4	Conceitos_de_OO	cell	1	eol
9	Atividade_Avaliativa_1	Aluno_6	Conceitos_de_OO	cell	0	eol
10	Atividade_Avaliativa_1	Aluno_6	Conceitos_de_OO	cell	0	eol
11	Atividade_Avaliativa_1	Aluno_6	Conceitos_de_OO	cell	1	eol
12	Atividade_Avaliativa_1	Aluno_6	Conceitos_de_OO	cell	1	eol
13	Atividade_Avaliativa_1	Aluno_9	Conceitos_de_OO	cell	0	eol
14	Atividade_Avaliativa_1	Aluno_9	Conceitos_de_OO	cell	1	eol
15	Atividade_Avaliativa_1	Aluno_9	Conceitos_de_OO	cell	1	eol
16	Atividade_Avaliativa_1	Aluno_9	Conceitos_de_OO	cell	1	eol
17	Atividade_Avaliativa_1	Aluno_12	Conceitos_de_OO	cell	0	eol
18	Atividade_Avaliativa_1	Aluno_12	Conceitos_de_OO	cell	1	eol
19	Atividade_Avaliativa_1	Aluno_12	Conceitos_de_OO	cell	1	eol
20	Atividade_Avaliativa_1	Aluno_12	Conceitos_de_OO	cell	1	eol
21	Atividade_Avaliativa_1	Aluno_13	Conceitos_de_OO	cell	0	eol
22	Atividade_Avaliativa_1	Aluno_13	Conceitos_de_OO	cell	0	eol
23	Atividade_Avaliativa_1	Aluno_13	Conceitos_de_OO	cell	1	eol
24	Atividade_Avaliativa_1	Aluno_13	Conceitos_de_OO	cell	1	eol
25	Atividade_Avaliativa_1	Aluno_14	Conceitos_de_OO	cell	0	eol
26	Atividade_Avaliativa_1	Aluno_14	Conceitos_de_OO	cell	1	eol
27	Atividade_Avaliativa_1	Aluno_14	Conceitos_de_OO	cell	1	eol
