ALUNO,CONHEC_O_O,FORMACAO,INST_ENS_ORIG,CURSO_GRAD,O_O_GRAD,TRAB_PROGRAM,EXP_PROGRAM,TRAB_PROGR_O_O,EXP_O_O,LOGIN,FORUM_NOTICIAS,APRESENTACAO,FORUM_UNIDADE_AMBIENTACAO,LEITURA_CONTEUDO_UNIDADE_INIC,REVISAO_CONTEUDO_DURANTE_AVAL_INIC,TEMPO_ATIV_INIC_SEGUNDOS_DISC,NOTA_ATIV_INIC_LETRA,FORUM_UNIDADE_1,REVISAO_CONTEUDO_DURANTE_AVAL_1,ATIVIDADE_FIXACAO_1,LEITURA_CONTEUDO_UNIDADE_1,TEMPO_ATIV_1_SEGUNDOS_DISC,NOTA_ATIV_1_LETRA,APROVADO_ATIV_1,FORUM_UNIDADE_2,LEITURA_CONTEUDO_ANTES_AVAL_2,REVISAO_CONTEUDO_DURANTE_AVAL_2,TEMPO_ATIV_2_SEGUNDOS_DISC,NOTA_ATIV_2_LETRA,APROVADO_ATIV_2,FORUM_UNIDADE_3,LEITURA_CONTEUDO_ANTES_AVAL_3,ATIVIDADE_FIXACAO_3,REVISAO_CONTEUDO_DURANTE_AVAL_3,TEMPO_ATIV_3_SEGUNDOS_DISC,NOTA_ATIV_3_LETRA,APROVADO_ATIV_3,FORUM_UNIDADE_4,LEITURA_CONTEUDO_ANTES_AVAL_4,ATIVIDADE_FIXACAO_4,REVISAO_CONTEUDO_DURANTE_AVAL_4,TEMPO_ATIV_4_SEGUNDOS_DISC,NOTA_ATIV_4_LETRA,APROVADO_ATIV_4,FORUM_UNIDADE_5,LEITURA_CONTEUDO_ANTES_AVAL_5,ATIVIDADE_FIXACAO_5,REVISAO_CONTEUDO_DURANTE_AVAL_5,TEMPO_ATIV_5_SEGUNDOS_DISC,NOTA_ATIV_5_LETRA,APROVADO_ATIV_5,FORUM_UNIDADE_6,LEITURA_CONTEUDO_ANTES_AVAL_6,ATIVIDADE_FIXACAO_6,REVISAO_CONTEUDO_DURANTE_AVAL_6,TEMPO_ATIV_6_SEGUNDOS_DISC,NOTA_ATIV_6_LETRA,APROVADO_UNIDADE_6,EVASAO
Aluno_6,POUCO,GRADUACAO_INCOMPLETA,MUNICIPAL,CIENC_COMP,SIM,SIM,1~2_ANOS,SIM,<1_ANO,SIM,ACESSOU,SIM,ACESSOU,SIM,SIM,MAIOR_MEDIANA,B,ACESSOU,NAO,SIM,SIM,MAIOR_MEDIANA,D,SIM,ACESSOU,SIM,NAO,MAIOR_MEDIANA,A,SIM,ACESSOU,SIM,SIM,NAO,MAIOR_MEDIANA,D,SIM,ACESSOU,SIM,SIM,NAO,MAIOR_MEDIANA,A,SIM,ACESSOU,SIM,SIM,SIM,MAIOR_MEDIANA,A,SIM,ACESSOU,SIM,SIM,NAO,MENOR_MEDIANA,D,SIM,NAO
Aluno_16,PARCIAL,GRADUACAO_INCOMPLETA,PRIVADA,CIENC_COMP,SIM,SIM,<1_ANO,SIM,1~2_ANOS,SIM,ACESSOU,SIM,NAO_ACESSOU,SIM,NAO,MAIOR_MEDIANA,F,ACESSOU,SIM,SIM,SIM,MAIOR_MEDIANA,A,SIM,ACESSOU,SIM,NAO,MENOR_MEDIANA,A,SIM,ACESSOU,SIM,SIM,SIM,MAIOR_MEDIANA,B,SIM,ACESSOU,SIM,SIM,SIM,MAIOR_MEDIANA,B,SIM,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,SIM
Aluno_24,PARCIAL,GRADUACAO_INCOMPLETA,PRIVADA,CIENC_COMP,SIM,NAO,NAO_TRABALHA_PROG,NAO,NAO_TRABALHA_PROG,SIM,NAO_ACESSOU,SIM,NAO_ACESSOU,SIM,SIM,MAIOR_MEDIANA,C,NAO_ACESSOU,SIM,SIM,SIM,MAIOR_MEDIANA,A,SIM,NAO_ACESSOU,SIM,SIM,MAIOR_MEDIANA,A,SIM,ACESSOU,SIM,SIM,NAO,MAIOR_MEDIANA,B,SIM,NAO_ACESSOU,SIM,NAO,SIM,MAIOR_MEDIANA,A,SIM,ACESSOU,SIM,NAO,NAO,MENOR_MEDIANA,A,SIM,ACESSOU,SIM,NAO,SIM,MAIOR_MEDIANA,A,SIM,NAO
Aluno_27,PARCIAL,GRADUACAO_INCOMPLETA,MUNICIPAL,CIENC_COMP,SIM,SIM,<1_ANO,SIM,<1_ANO,SIM,NAO_ACESSOU,SIM,NAO_ACESSOU,SIM,NAO,MENOR_MEDIANA,D,ACESSOU,NAO,SIM,SIM,MENOR_MEDIANA,B,SIM,ACESSOU,SIM,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,SIM
Aluno_29,PARCIAL,GRADUACAO_INCOMPLETA,MUNICIPAL,CIENC_COMP,SIM,NAO,NAO_TRABALHA_PROG,NAO,NAO_TRABALHA_PROG,SIM,NAO_ACESSOU,SIM,NAO_ACESSOU,SIM,NAO,MENOR_MEDIANA,C,NAO_ACESSOU,NAO,SIM,SIM,MENOR_MEDIANA,C,SIM,ACESSOU,SIM,SIM,MAIOR_MEDIANA,A,SIM,PUBLICOU,SIM,SIM,SIM,MENOR_MEDIANA,D,SIM,NAO_ACESSOU,SIM,SIM,NAO,MENOR_MEDIANA,A,SIM,ACESSOU,SIM,SIM,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,SIM
Aluno_33,PARCIAL,GRADUACAO_INCOMPLETA,PRIVADA,CIENC_COMP,SIM,NAO,NAO_TRABALHA_PROG,NAO,NAO_TRABALHA_PROG,SIM,ACESSOU,SIM,ACESSOU,SIM,NAO,MAIOR_MEDIANA,C,NAO_ACESSOU,SIM,SIM,SIM,MAIOR_MEDIANA,F,NAO,NAO_ACESSOU,SIM,SIM,MAIOR_MEDIANA,A,SIM,NAO_ACESSOU,SIM,NAO,NAO,MAIOR_MEDIANA,F,NAO,NAO_ACESSOU,SIM,NAO,SIM,MAIOR_MEDIANA,A,SIM,NAO_ACESSOU,SIM,NAO,NAO,MAIOR_MEDIANA,B,SIM,NAO_ACESSOU,SIM,NAO,NAO,MENOR_MEDIANA,D,SIM,NAO
Aluno_36,POUCO,GRADUACAO_INCOMPLETA,MUNICIPAL,SIST_INFO,SIM,NAO,NAO_TRABALHA_PROG,NAO,NAO_TRABALHA_PROG,SIM,ACESSOU,SIM,NAO_ACESSOU,SIM,NAO,MAIOR_MEDIANA,F,NAO_ACESSOU,NAO,SIM,SIM,MENOR_MEDIANA,D,SIM,NAO_ACESSOU,SIM,NAO,MENOR_MEDIANA,A,SIM,ACESSOU,SIM,SIM,NAO,MENOR_MEDIANA,B,SIM,ACESSOU,SIM,NAO,NAO,MENOR_MEDIANA,A,SIM,ACESSOU,SIM,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,ACESSOU,SIM,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,SIM
Aluno_40,QUASE_TOTAL,GRADUACAO_INCOMPLETA,PRIVADA,CIENC_COMP,SIM,SIM,<1_ANO,NAO,NAO_TRABALHA_PROG,SIM,ACESSOU,SIM,NAO_ACESSOU,SIM,NAO,MENOR_MEDIANA,A,NAO_ACESSOU,SIM,SIM,SIM,MENOR_MEDIANA,C,SIM,NAO_ACESSOU,SIM,SIM,MENOR_MEDIANA,A,SIM,NAO_ACESSOU,SIM,SIM,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_ACESSOU,NAO,NAO,NAO,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,SIM
Aluno_42,PARCIAL,GRADUACAO_INCOMPLETA,PRIVADA,CIENC_COMP,SIM,NAO,NAO_TRABALHA_PROG,NAO,NAO_TRABALHA_PROG,SIM,NAO_ACESSOU,SIM,ACESSOU,SIM,NAO,MAIOR_MEDIANA,F,ACESSOU,SIM,SIM,SIM,MENOR_MEDIANA,C,SIM,ACESSOU,SIM,NAO,MENOR_MEDIANA,A,SIM,ACESSOU,SIM,SIM,NAO,MAIOR_MEDIANA,D,SIM,ACESSOU,SIM,SIM,NAO,MENOR_MEDIANA,B,SIM,ACESSOU,SIM,SIM,NAO,MENOR_MEDIANA,B,SIM,ACESSOU,SIM,SIM,NAO,MAIOR_MEDIANA,A,SIM,NAO
Aluno_48,PARCIAL,GRADUACAO_INCOMPLETA,PRIVADA,CIENC_COMP,SIM,NAO,NAO_TRABALHA_PROG,NAO,NAO_TRABALHA_PROG,SIM,NAO_ACESSOU,SIM,NAO_ACESSOU,SIM,NAO,MENOR_MEDIANA,F,NAO_ACESSOU,SIM,NAO,SIM,MENOR_MEDIANA,F,NAO,NAO_ACESSOU,SIM,SIM,MENOR_MEDIANA,C,SIM,NAO_ACESSOU,SIM,NAO,NAO,MENOR_MEDIANA,F,NAO,NAO_ACESSOU,NAO,NAO,NAO,MENOR_MEDIANA,A,SIM,NAO_ACESSOU,NAO,NAO,NAO,MENOR_MEDIANA,A,SIM,NAO_ACESSOU,NAO,NAO,NAO,MENOR_MEDIANA,D,SIM,NAO
